Postcode,Sidewalk Dimensions (Length),Sidewalk Dimensions (Width),Sidewalk Dimensions (Area),Roadway Dimensions (Length),Roadway Dimensions (Width),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol
10001,5951.0,1708.0,63357.0,5076.0,1275.0,42573.0,198,156,173
10002,6800.0,1878.0,56960.0,5743.0,1777.0,45272.0,236,226,223
10003,14352.0,4397.0,151032.0,11718.0,2953.0,105464.0,440,364,381
10004,1304.0,439.0,12447.0,1440.0,247.0,11540.0,39,32,34
10005,625.0,226.0,9498.0,262.0,70.0,2097.0,22,9,10
10006,582.0,145.0,5151.0,498.0,70.0,5914.0,16,8,10
10007,1543.0,424.0,17503.0,647.0,155.0,4926.0,43,20,28
10009,5847.0,1868.0,55441.0,5136.0,1659.0,41920.0,221,203,230
10010,5333.0,1543.0,60785.0,3796.0,974.0,37297.0,147,110,120
10011,8461.0,2421.0,97051.0,6516.0,1616.0,54154.0,245,195,244
10012,9639.0,2451.0,86979.0,7895.0,2298.0,63541.0,293,287,283
10013,9689.0,2812.0,98819.0,8797.0,2339.0,76395.0,282,277,253
10014,10869.0,3049.0,113091.0,8325.0,2046.0,67476.0,307,252,328
10016,7611.0,2175.0,89657.0,5567.0,1326.0,45243.0,237,163,191
10017,4347.0,1149.0,43094.0,2480.0,733.0,22601.0,123,80,80
10018,3678.0,1086.0,32554.0,3197.0,875.0,25843.0,129,109,88
10019,8114.0,2743.0,85833.0,5609.0,1649.0,44826.0,284,203,244
10020,205.0,88.0,3852.0,26.0,8.0,208.0,5,1,4
10021,3097.0,933.0,42746.0,2424.0,643.0,19294.0,92,80,74
10022,5198.0,1562.0,47737.0,3648.0,1015.0,29369.0,179,124,154
10023,2868.0,1030.0,38452.0,2679.0,678.0,24384.0,98,83,89
10024,4899.0,1565.0,52475.0,3560.0,857.0,28392.0,142,107,125
10025,4796.0,1455.0,56617.0,2436.0,687.0,19748.0,136,85,108
10026,1327.0,516.0,17321.0,931.0,270.0,7708.0,42,33,42
10027,2052.0,789.0,28668.0,1056.0,262.0,8395.0,59,33,55
10028,3628.0,1198.0,36737.0,2606.0,816.0,21608.0,118,98,109
10029,2422.0,822.0,24703.0,1393.0,427.0,11386.0,84,49,50
10030,526.0,232.0,7965.0,243.0,91.0,1744.0,17,13,14
10031,1722.0,692.0,16636.0,896.0,291.0,7463.0,67,35,53
10032,1810.0,558.0,33737.0,726.0,173.0,5733.0,46,22,29
10033,2273.0,521.0,25448.0,1863.0,386.0,14947.0,56,48,42
10034,3153.0,830.0,37831.0,2672.0,596.0,29254.0,70,55,51
10035,635.0,128.0,4711.0,475.0,114.0,3824.0,16,14,8
10036,6555.0,1960.0,71448.0,5519.0,1616.0,46775.0,210,194,208
10037,137.0,37.0,1287.0,20.0,8.0,160.0,4,1,2
10038,2457.0,617.0,34189.0,1472.0,402.0,12160.0,66,53,52
10039,262.0,64.0,1611.0,169.0,36.0,1130.0,9,5,7
10040,1878.0,624.0,25073.0,1417.0,316.0,13345.0,51,36,32
10041,40.0,24.0,300.0,45.0,36.0,480.0,3,3,1
10044,70.0,18.0,630.0,0.0,0.0,0.0,2,0,1
10065,2568.0,853.0,29254.0,1673.0,492.0,13481.0,92,61,77
10069,129.0,20.0,1235.0,96.0,16.0,768.0,2,2,1
10075,2153.0,637.0,19603.0,1403.0,398.0,10925.0,68,51,63
10104,41.0,3.0,123.0,0.0,0.0,0.0,1,0,0
10105,0.0,0.0,0.0,100.0,8.0,800.0,0,1,1
10106,30.0,10.0,300.0,0.0,0.0,0.0,1,0,1
10119,40.0,15.0,600.0,0.0,0.0,0.0,1,0,0
10128,2841.0,928.0,28977.0,2033.0,608.0,15687.0,96,76,80
10151,34.0,16.0,544.0,0.0,0.0,0.0,1,0,1
10158,103.0,35.0,631.0,0.0,0.0,0.0,3,0,1
10168,33.0,8.0,264.0,33.0,8.0,264.0,1,1,1
10169,225.0,18.0,4050.0,269.0,24.0,2152.0,1,3,2
10271,53.0,12.0,636.0,0.0,0.0,0.0,1,0,1
10279,85.0,27.0,641.0,51.0,8.0,408.0,3,1,1
10280,249.0,17.0,1065.0,249.0,32.0,1992.0,4,4,1
10281,90.0,6.0,540.0,0.0,0.0,0.0,2,0,1
10282,216.0,25.0,1778.0,16.0,8.0,128.0,3,1,2
10301,784.0,447.0,9466.0,595.0,252.0,5236.0,28,22,20
10302,248.0,70.0,2151.0,169.0,51.0,1232.0,8,7,9
10303,260.0,46.0,2640.0,0.0,0.0,0.0,5,0,3
10304,386.0,100.0,3435.0,213.0,48.0,1704.0,11,6,9
10305,503.0,144.0,4233.0,242.0,50.0,1717.0,14,7,15
10306,1500.0,378.0,17911.0,718.0,121.0,6151.0,29,14,21
10307,262.0,105.0,2722.0,207.0,64.0,2776.0,10,6,10
10308,364.0,111.0,4872.0,52.0,12.0,424.0,9,2,9
10309,424.0,231.0,8462.0,226.0,150.0,5520.0,10,6,6
10310,324.0,132.0,4178.0,280.0,72.0,2188.0,11,9,9
10312,321.0,128.0,5321.0,193.0,38.0,1508.0,9,5,8
10314,462.0,278.0,7081.0,140.0,93.0,3370.0,20,5,14
10451,626.0,187.0,5870.0,463.0,109.0,3569.0,18,14,7
10452,1035.0,362.0,12851.0,570.0,182.0,4520.0,31,23,26
10453,537.0,140.0,4238.0,318.0,70.0,2354.0,17,9,10
10454,1244.0,474.0,18443.0,498.0,148.0,3934.0,42,19,27
10455,924.0,295.0,9209.0,615.0,160.0,4920.0,27,20,16
10456,276.0,64.0,2604.0,74.0,22.0,528.0,7,3,4
10457,750.0,267.0,9646.0,437.0,81.0,3516.0,22,10,19
10458,4880.0,1200.0,96901.0,3468.0,586.0,29381.0,98,64,68
10459,521.0,188.0,7266.0,277.0,64.0,2216.0,15,8,7
10460,304.0,117.0,3905.0,193.0,46.0,1520.0,10,6,8
10461,2264.0,696.0,24980.0,699.0,225.0,5847.0,60,26,37
10462,1272.0,428.0,12209.0,1076.0,264.0,8332.0,42,34,24
10463,1189.0,418.0,12488.0,732.0,211.0,5493.0,37,28,30
10464,390.0,66.0,4500.0,36.0,8.0,288.0,6,1,5
10465,930.0,250.0,11641.0,559.0,91.0,4422.0,20,12,16
10466,414.0,116.0,5494.0,179.0,39.0,1409.0,11,5,5
10467,964.0,403.0,15141.0,512.0,151.0,6785.0,30,16,13
10468,1272.0,432.0,14404.0,765.0,213.0,6243.0,37,26,19
10469,525.0,167.0,6163.0,175.0,46.0,1376.0,14,6,8
10470,443.0,178.0,6110.0,320.0,64.0,2560.0,13,8,11
10471,527.0,249.0,5465.0,414.0,103.0,3261.0,21,13,13
10472,934.0,311.0,9416.0,558.0,186.0,4746.0,28,19,20
10473,100.0,34.0,1205.0,30.0,8.0,240.0,3,1,2
10474,227.0,53.0,2856.0,90.0,16.0,720.0,4,2,3
10475,90.0,16.0,740.0,70.0,8.0,560.0,2,1,3
10476,13.0,17.0,221.0,13.0,8.0,104.0,1,1,0
11001,19.0,9.0,171.0,0.0,0.0,0.0,1,0,1
11004,150.0,42.0,1440.0,110.0,32.0,880.0,4,4,1
11040,321.0,72.0,3339.0,0.0,0.0,0.0,6,0,5
11101,7113.0,1590.0,84262.0,3967.0,817.0,35196.0,154,97,115
11102,1660.0,440.0,17159.0,1063.0,293.0,10102.0,43,35,27
11103,5255.0,1873.0,58893.0,4263.0,1156.0,36262.0,163,138,98
11104,2197.0,653.0,23411.0,1294.0,338.0,9748.0,64,42,38
11105,2458.0,1040.0,28793.0,2338.0,638.0,21107.0,83,74,71
11106,3383.0,1155.0,41364.0,2896.0,787.0,25258.0,101,90,75
11109,190.0,31.0,1150.0,262.0,47.0,2078.0,5,6,6
11200,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
11201,5057.0,1730.0,44309.0,3404.0,1085.0,27014.0,192,136,120
11202,15.0,3.0,45.0,0.0,0.0,0.0,1,0,1
11203,1051.0,314.0,13129.0,493.0,96.0,3778.0,28,13,16
11204,822.0,249.0,9160.0,151.0,54.0,1168.0,25,7,9
11205,1627.0,522.0,15534.0,1254.0,356.0,9939.0,57,45,46
11206,2473.0,825.0,24764.0,2184.0,502.0,18501.0,77,62,69
11207,1169.0,337.0,11576.0,819.0,183.0,6436.0,35,24,21
11208,788.0,290.0,8865.0,619.0,133.0,4895.0,23,17,13
11209,4069.0,1463.0,43480.0,2826.0,910.0,25949.0,135,97,82
11210,696.0,231.0,8670.0,190.0,57.0,1630.0,19,7,5
11211,8176.0,2293.0,84304.0,6738.0,1665.0,52556.0,247,209,221
11212,265.0,84.0,3291.0,200.0,75.0,2888.0,10,8,6
11213,678.0,220.0,6843.0,372.0,118.0,2952.0,22,15,10
11214,1369.0,681.0,21378.0,707.0,221.0,6856.0,47,25,14
11215,6656.0,1975.0,69420.0,5830.0,1462.0,46360.0,210,183,194
11216,1811.0,715.0,18946.0,1354.0,444.0,10589.0,76,56,45
11217,3990.0,1308.0,52263.0,2598.0,822.0,21022.0,131,101,130
11218,1656.0,516.0,19378.0,934.0,239.0,7652.0,52,29,28
11219,932.0,335.0,12365.0,635.0,134.0,5568.0,26,16,16
11220,3498.0,1242.0,39760.0,2497.0,695.0,19538.0,105,88,52
11221,2214.0,618.0,20752.0,1688.0,329.0,13096.0,68,43,51
11222,4605.0,963.0,39664.0,3988.0,929.0,31275.0,122,120,119
11223,1832.0,670.0,21295.0,957.0,282.0,7925.0,61,35,26
11224,320.0,107.0,4473.0,119.0,40.0,2152.0,8,3,4
11225,992.0,409.0,10685.0,694.0,205.0,5654.0,39,25,31
11226,1236.0,492.0,12601.0,578.0,226.0,4270.0,47,31,24
11227,0.0,0.0,0.0,78.0,8.0,624.0,0,1,1
11228,634.0,298.0,7711.0,149.0,48.0,1192.0,25,6,12
11229,1166.0,314.0,10570.0,755.0,165.0,5682.0,33,21,16
11230,1264.0,510.0,19135.0,1003.0,268.0,8604.0,38,31,13
11231,2799.0,806.0,26170.0,2103.0,623.0,16553.0,87,78,78
11232,1122.0,385.0,10566.0,562.0,155.0,4447.0,38,19,26
11233,1209.0,253.0,22063.0,442.0,115.0,3416.0,24,15,16
11234,1428.0,340.0,17543.0,360.0,128.0,6614.0,27,9,17
11235,3690.0,999.0,79594.0,2063.0,429.0,16816.0,72,51,47
11236,372.0,127.0,3744.0,263.0,61.0,1696.0,13,10,7
11237,5122.0,1468.0,52549.0,4174.0,1094.0,34846.0,156,139,121
11238,5307.0,1737.0,60486.0,3191.0,1001.0,26124.0,178,127,150
11239,43.0,10.0,430.0,43.0,8.0,344.0,1,1,1
11241,20.0,15.0,300.0,0.0,0.0,0.0,1,0,0
11249,4896.0,1051.0,43362.0,5148.0,1136.0,42474.0,123,139,108
11271,15.0,6.0,90.0,0.0,0.0,0.0,1,0,1
11273,15.0,20.0,300.0,0.0,0.0,0.0,1,0,0
11352,26.0,7.0,182.0,29.0,8.0,232.0,1,1,1
11354,3050.0,781.0,26300.0,2083.0,521.0,15815.0,97,69,58
11355,1544.0,687.0,23400.0,1105.0,254.0,8654.0,52,33,30
11356,627.0,187.0,7745.0,652.0,126.0,5178.0,17,16,10
11357,634.0,175.0,5597.0,507.0,137.0,5664.0,22,15,14
11358,2231.0,546.0,22629.0,936.0,261.0,7379.0,63,34,46
11360,114.0,134.0,3650.0,30.0,8.0,240.0,4,1,2
11361,2306.0,784.0,23483.0,1279.0,428.0,10125.0,87,56,72
11362,401.0,179.0,4670.0,334.0,80.0,2672.0,16,10,8
11363,60.0,35.0,688.0,46.0,19.0,437.0,3,2,2
11364,355.0,198.0,5564.0,60.0,14.0,400.0,12,2,8
11365,340.0,124.0,4166.0,201.0,29.0,1518.0,11,4,4
11366,889.0,206.0,10686.0,390.0,65.0,3004.0,19,9,9
11367,375.0,152.0,4289.0,151.0,81.0,1151.0,15,10,1
11368,2788.0,898.0,48188.0,2490.0,589.0,40457.0,91,72,55
11369,485.0,230.0,4961.0,446.0,155.0,3478.0,23,20,11
11370,65.0,31.0,992.0,185.0,32.0,1480.0,2,4,4
11372,7215.0,2323.0,79213.0,4971.0,1423.0,40890.0,234,179,157
11373,3638.0,1030.0,79514.0,1886.0,476.0,14975.0,88,58,46
11374,1480.0,378.0,15819.0,683.0,195.0,5890.0,41,24,26
11375,2762.0,833.0,28731.0,2342.0,756.0,23676.0,82,74,70
11377,3700.0,1230.0,40329.0,2187.0,586.0,17152.0,117,75,75
11378,1267.0,370.0,18203.0,676.0,204.0,7170.0,30,19,18
11379,363.0,157.0,4389.0,335.0,93.0,2569.0,14,12,12
11385,4384.0,1175.0,41688.0,2719.0,642.0,20871.0,122,85,90
11395,70.0,30.0,2100.0,10.0,50.0,500.0,1,1,0
11411,252.0,67.0,4221.0,20.0,8.0,160.0,4,1,4
11412,161.0,36.0,1750.0,0.0,0.0,0.0,3,0,3
11413,102.0,85.0,1606.0,46.0,16.0,368.0,6,2,1
11414,877.0,292.0,16102.0,168.0,49.0,2424.0,16,5,11
11415,263.0,68.0,2733.0,132.0,32.0,1056.0,7,4,5
11416,385.0,101.0,3422.0,398.0,89.0,3033.0,11,12,3
11417,1088.0,249.0,11369.0,234.0,70.0,1757.0,27,10,16
11418,594.0,239.0,6906.0,349.0,122.0,2808.0,22,15,16
11419,852.0,340.0,8165.0,524.0,142.0,3873.0,33,20,23
11420,466.0,107.0,4856.0,212.0,45.0,1606.0,11,6,9
11421,1297.0,236.0,11611.0,1010.0,138.0,8088.0,26,17,18
11422,604.0,87.0,6303.0,129.0,14.0,984.0,8,2,6
11423,28.0,14.0,180.0,0.0,0.0,0.0,2,0,1
11426,246.0,122.0,3340.0,50.0,24.0,400.0,8,3,4
11427,22.0,36.0,792.0,0.0,0.0,0.0,1,0,1
11428,155.0,99.0,2139.0,48.0,12.0,576.0,6,1,4
11432,796.0,331.0,7875.0,355.0,122.0,2740.0,34,16,11
11433,81.0,32.0,1025.0,18.0,8.0,144.0,3,1,2
11434,124.0,49.0,1184.0,226.0,39.0,1792.0,6,5,1
11435,788.0,240.0,8671.0,512.0,113.0,4222.0,22,13,13
11473,45.0,10.0,450.0,0.0,0.0,0.0,1,1,1
11691,30.0,13.0,390.0,0.0,0.0,0.0,1,0,0
11692,0.0,0.0,0.0,26.0,8.0,208.0,0,1,0
11693,156.0,47.0,902.0,330.0,70.0,2620.0,7,9,6
11694,243.0,92.0,2253.0,265.0,84.0,2018.0,10,11,8
11697,86.0,108.0,2320.0,0.0,0.0,0.0,3,0,3
